지점,지점명,일시,풍속(m/s),풍향(16방위),일사(MJ/m2)
108,서울,2025-07-28 06:00,.7,270,.01
108,서울,2025-07-28 07:00,1,20,.35
108,서울,2025-07-28 08:00,1.3,290,.72
108,서울,2025-07-28 09:00,1.7,270,1.44
108,서울,2025-07-28 10:00,2.3,200,2.16
108,서울,2025-07-28 11:00,1.7,270,2.55
108,서울,2025-07-28 12:00,2.5,270,3.26
108,서울,2025-07-28 13:00,2.8,230,3.19
108,서울,2025-07-28 14:00,3.1,290,3.55
108,서울,2025-07-28 15:00,3,290,2.98
108,서울,2025-07-28 16:00,2.5,290,2.64
108,서울,2025-07-28 17:00,2.6,250,2.15
108,서울,2025-07-28 18:00,3.1,270,1.21
108,서울,2025-07-28 19:00,2.8,270,.68
108,서울,2025-07-28 20:00,2.8,270,.11
108,서울,2025-07-28 21:00,2.1,250,
108,서울,2025-07-28 22:00,2.2,270,
108,서울,2025-07-28 23:00,2,270,
108,서울,2025-07-29 00:00,1.4,290,
108,서울,2025-07-29 01:00,2.1,290,
108,서울,2025-07-29 02:00,.8,270,
108,서울,2025-07-29 03:00,.8,50,
108,서울,2025-07-29 04:00,1.6,50,
108,서울,2025-07-29 05:00,1.7,50,
108,서울,2025-07-29 06:00,2.2,20,.01
108,서울,2025-07-29 07:00,2.6,20,.35
108,서울,2025-07-29 08:00,2.6,20,1
108,서울,2025-07-29 09:00,2.3,50,1.75
108,서울,2025-07-29 10:00,2.1,340,2.22
108,서울,2025-07-29 11:00,1.7,250,1.4
108,서울,2025-07-29 12:00,2,230,2.36
108,서울,2025-07-29 13:00,2.6,290,2.94
108,서울,2025-07-29 14:00,2.1,270,2.78
108,서울,2025-07-29 15:00,2.5,230,2.05
108,서울,2025-07-29 16:00,2,340,.79
108,서울,2025-07-29 17:00,2.6,270,1.3
108,서울,2025-07-29 18:00,3,270,.93
108,서울,2025-07-29 19:00,2.3,270,.48
108,서울,2025-07-29 20:00,2.1,270,.05
108,서울,2025-07-29 21:00,2,320,
108,서울,2025-07-29 22:00,3,320,
108,서울,2025-07-29 23:00,2,270,
108,서울,2025-07-30 00:00,1.8,270,
108,서울,2025-07-30 01:00,.9,270,
108,서울,2025-07-30 02:00,1,290,
108,서울,2025-07-30 03:00,1,290,
108,서울,2025-07-30 04:00,1.3,360,
108,서울,2025-07-30 05:00,2.1,50,
108,서울,2025-07-30 06:00,2.1,20,.01
108,서울,2025-07-30 07:00,1,90,.3
108,서울,2025-07-30 08:00,1.5,50,.8
108,서울,2025-07-30 09:00,1.6,50,1.77
108,서울,2025-07-30 10:00,2,50,2.08
108,서울,2025-07-30 11:00,2.9,50,1.95
108,서울,2025-07-30 12:00,1.8,90,2.41
108,서울,2025-07-30 13:00,2.6,50,1.99
108,서울,2025-07-30 14:00,2,70,2.54
108,서울,2025-07-30 15:00,2.4,140,2.25
108,서울,2025-07-30 16:00,2.2,110,1.29
108,서울,2025-07-30 17:00,2.1,110,1.25
108,서울,2025-07-30 18:00,2.2,270,.59
108,서울,2025-07-30 19:00,.9,230,.25
108,서울,2025-07-30 20:00,1.9,250,.03
108,서울,2025-07-30 21:00,.9,270,
108,서울,2025-07-30 22:00,1.2,290,
108,서울,2025-07-30 23:00,1.6,50,
108,서울,2025-07-31 00:00,2.3,50,
108,서울,2025-07-31 01:00,2,50,
108,서울,2025-07-31 02:00,1.9,20,
108,서울,2025-07-31 03:00,1.8,70,
108,서울,2025-07-31 04:00,1.6,90,
108,서울,2025-07-31 05:00,2.4,110,
108,서울,2025-07-31 06:00,2.4,110,0
108,서울,2025-07-31 07:00,1.7,110,.11
108,서울,2025-07-31 08:00,1.9,140,.35
108,서울,2025-07-31 09:00,.9,90,.6
108,서울,2025-07-31 10:00,2.3,270,1.48
108,서울,2025-07-31 11:00,1.4,290,1.66
108,서울,2025-07-31 12:00,1.5,90,1.46
108,서울,2025-07-31 13:00,1.6,70,1.92
108,서울,2025-07-31 14:00,1.6,70,1.95
108,서울,2025-07-31 15:00,2.3,20,1.52
108,서울,2025-07-31 16:00,3.4,320,.56
108,서울,2025-07-31 17:00,1.8,360,.77
108,서울,2025-07-31 18:00,2.7,320,.51
108,서울,2025-07-31 19:00,2.2,320,.25
108,서울,2025-07-31 20:00,1.9,50,.03
108,서울,2025-07-31 21:00,2,50,
108,서울,2025-07-31 22:00,1.5,50,
108,서울,2025-07-31 23:00,1.2,340,
108,서울,2025-08-01 00:00,1.6,20,
108,서울,2025-08-01 01:00,1.8,50,
108,서울,2025-08-01 02:00,1.4,360,
108,서울,2025-08-01 03:00,1.3,20,
108,서울,2025-08-01 04:00,1.9,20,
108,서울,2025-08-01 05:00,1.7,20,
108,서울,2025-08-01 06:00,1.6,20,.01
108,서울,2025-08-01 07:00,1.8,50,.21
108,서울,2025-08-01 08:00,2,50,.76
108,서울,2025-08-01 09:00,1.8,50,1.45
108,서울,2025-08-01 10:00,1.7,50,2.19
108,서울,2025-08-01 11:00,1.9,110,2.74
108,서울,2025-08-01 12:00,1.4,290,2.8
108,서울,2025-08-01 13:00,1.7,320,1.66
108,서울,2025-08-01 14:00,2.1,250,1.18
108,서울,2025-08-01 15:00,2.6,270,.86
108,서울,2025-08-01 16:00,2.4,250,.69
108,서울,2025-08-01 17:00,3.1,290,.69
108,서울,2025-08-01 18:00,3.2,290,.51
108,서울,2025-08-01 19:00,2.5,290,.3
108,서울,2025-08-01 20:00,.7,340,.04
108,서울,2025-08-01 21:00,.9,50,
108,서울,2025-08-01 22:00,.8,270,
108,서울,2025-08-01 23:00,1,320,
108,서울,2025-08-02 00:00,1,270,
108,서울,2025-08-02 01:00,1.7,250,
108,서울,2025-08-02 02:00,1.4,270,
108,서울,2025-08-02 03:00,1.1,290,
108,서울,2025-08-02 04:00,1.8,290,
108,서울,2025-08-02 05:00,1.4,290,
108,서울,2025-08-02 06:00,.6,20,.01
108,서울,2025-08-02 07:00,1.2,50,.27
108,서울,2025-08-02 08:00,2.6,50,.59
108,서울,2025-08-02 09:00,.9,50,1.17
108,서울,2025-08-02 10:00,1.3,250,1.5
108,서울,2025-08-02 11:00,1.7,270,1.98
108,서울,2025-08-02 12:00,1.9,290,2.69
108,서울,2025-08-02 13:00,2.9,200,1.24
108,서울,2025-08-02 14:00,2.6,250,2.5
108,서울,2025-08-02 15:00,1.6,320,2.73
108,서울,2025-08-02 16:00,2.3,250,2.65
108,서울,2025-08-02 17:00,2.6,250,1.77
108,서울,2025-08-02 18:00,2.3,270,1.23
108,서울,2025-08-02 19:00,2.7,270,.51
108,서울,2025-08-02 20:00,2,270,.04
108,서울,2025-08-02 21:00,2.2,270,
108,서울,2025-08-02 22:00,1.8,270,
108,서울,2025-08-02 23:00,1.3,230,
108,서울,2025-08-03 00:00,.2,0,
108,서울,2025-08-03 01:00,.6,340,
108,서울,2025-08-03 02:00,.8,290,
108,서울,2025-08-03 03:00,.9,270,
108,서울,2025-08-03 04:00,.7,320,
108,서울,2025-08-03 05:00,1.1,20,
108,서울,2025-08-03 06:00,.8,70,.01
108,서울,2025-08-03 07:00,1.7,50,.15
108,서울,2025-08-03 08:00,2,20,.34
108,서울,2025-08-03 09:00,1.5,50,.56
108,서울,2025-08-03 10:00,2.2,50,.67
108,서울,2025-08-03 11:00,2.5,110,1.56
108,서울,2025-08-03 12:00,2,50,.77
108,서울,2025-08-03 13:00,2.4,110,1.19
108,서울,2025-08-03 14:00,1.7,110,1.12
108,서울,2025-08-03 15:00,3.1,160,.81
108,서울,2025-08-03 16:00,1.3,160,.33
108,서울,2025-08-03 17:00,2.9,180,.22
108,서울,2025-08-03 18:00,3,200,.14
108,서울,2025-08-03 19:00,1.9,200,.13
108,서울,2025-08-03 20:00,1.4,140,.08
